clientSetSize	serverSetSize	intersectionSetSize	nSimpleHF	eachSimpleTableSize	maxPP	eachCuckooTableSize
32	65536	17	2	442	12	12
128	65536	65	2	1162	9	9
512	65536	257	2	3053	7	7
1024	65536	513	2	4949	6	6
2048	65536	1025	2	8022	5	5
4096	65536	2049	2	13004	5	5
32	1048576	17	2	442	40	40
128	1048576	65	2	1162	26	26
512	1048576	257	2	3053	17	17
1024	1048576	513	2	4949	14	14
2048	1048576	1025	2	8022	12	12
4096	1048576	2049	2	13004	10	10
32	16777216	17	2	442	148	148
128	16777216	65	2	1162	93	93
512	16777216	257	2	3053	58	58
1024	16777216	513	2	4949	47	47
2048	16777216	1025	2	8022	38	38
4096	16777216	2049	2	13004	30	30
32	268435456	17	2	442	581	581
128	268435456	65	2	1162	360	360
512	268435456	257	2	3053	223	223
1024	268435456	513	2	4949	176	176
2048	268435456	1025	2	8022	139	139
4096	268435456	2049	2	13004	110	110
32	65536	17	2	442	9	17
128	65536	65	2	1162	6	12
512	65536	257	2	3053	5	9
1024	65536	513	2	4949	4	8
2048	65536	1025	2	8022	4	7
4096	65536	2049	2	13004	4	7
32	1048576	17	2	442	28	56
128	1048576	65	2	1162	18	36
512	1048576	257	2	3053	12	24
1024	1048576	513	2	4949	10	20
2048	1048576	1025	2	8022	9	17
4096	1048576	2049	2	13004	7	14
32	16777216	17	2	442	105	209
128	16777216	65	2	1162	66	131
512	16777216	257	2	3053	42	83
1024	16777216	513	2	4949	33	66
2048	16777216	1025	2	8022	27	53
4096	16777216	2049	2	13004	21	42
32	268435456	17	2	442	411	822
128	268435456	65	2	1162	255	509
512	268435456	257	2	3053	158	316
1024	268435456	513	2	4949	125	249
2048	268435456	1025	2	8022	99	197
4096	268435456	2049	2	13004	78	155
32	65536	17	3	14	54	54
128	65536	65	3	55	29	29
512	65536	257	3	220	16	16
1024	65536	513	3	443	12	12
2048	65536	1025	3	890	10	10
4096	65536	2049	3	1791	8	8
32	1048576	17	3	14	206	206
128	1048576	65	3	55	106	106
512	1048576	257	3	220	55	55
1024	1048576	513	3	443	40	40
2048	1048576	1025	3	890	29	29
4096	1048576	2049	3	1791	21	21
32	16777216	17	3	14	815	815
128	16777216	65	3	55	413	413
512	16777216	257	3	220	208	208
1024	16777216	513	3	443	148	148
2048	16777216	1025	3	890	105	105
4096	16777216	2049	3	1791	75	75
32	268435456	17	3	14	3251	3251
128	268435456	65	3	55	1642	1642
512	268435456	257	3	220	823	823
1024	268435456	513	3	443	581	581
2048	268435456	1025	3	890	411	411
4096	268435456	2049	3	1791	291	291
32	65536	17	3	14	38	76
128	65536	65	3	55	21	41
512	65536	257	3	220	12	23
1024	65536	513	3	443	9	17
2048	65536	1025	3	890	7	14
4096	65536	2049	3	1791	6	11
32	1048576	17	3	14	146	291
128	1048576	65	3	55	75	149
512	1048576	257	3	220	39	77
1024	1048576	513	3	443	28	56
2048	1048576	1025	3	890	21	41
4096	1048576	2049	3	1791	15	30
32	16777216	17	3	14	577	1153
128	16777216	65	3	55	292	584
512	16777216	257	3	220	147	294
1024	16777216	513	3	443	105	209
2048	16777216	1025	3	890	75	149
4096	16777216	2049	3	1791	53	106
32	268435456	17	3	14	2299	4597
128	268435456	65	3	55	1161	2322
512	268435456	257	3	220	582	1163
1024	268435456	513	3	443	411	821
2048	268435456	1025	3	890	291	581
4096	268435456	2049	3	1791	206	411
